"","score","text"
"1",-1,"RT @UK_Girls_Daily: Visit https://t.co/WfcE4jbSHz to meet and fuck horny UK girls in your area #meetslags #ukbabe #fuckbuddy Ì†ºÌ∑¨Ì†ºÌ∑ß Ì†ΩÌ≤ã https://t‚Ä¶"
"2",0,"RT @MeliBrooki: Who wants to be my #fuckbuddy? https://t.co/OMs2qOWDJw"
"3",0,"Who wants to be my #fuckbuddy? https://t.co/OMs2qOWDJw"
"4",0,"Needing a new #fuckbuddy https://t.co/Pq5lRysEax"
"5",0,"#squirters #dmme looking for my first #SquirtTrubute!!! #tradenudes #bigdick #fuckbuddy #sexting #cumtribute"
"6",0,"Needing a new #fuckbuddy https://t.co/CEZyq7xaj0"
"7",0,"Who wants to be my #fuckbuddy? https://t.co/hnKLDM3VDQ"
"8",0,"Needing a new #fuckbuddy https://t.co/5RnVXHLFVS"
"9",0,"Who wants to be my #fuckbuddy? https://t.co/701VGG453E"
"10",-1,"RT @UK_Girls_Daily: Visit https://t.co/W759FHyNLW to meet and fuck horny UK girls in your area #meetslags #ukbabe #fuckbuddy Ì†ºÌ∑¨Ì†ºÌ∑ß Ì†ΩÌ≤ã https://t‚Ä¶"
"11",-1,"RT @UK_Girls_Daily: Visit https://t.co/JPt9fFgr3F to meet and fuck horny UK girls in your area #meetslags #ukbabe #fuckbuddy Ì†ºÌ∑¨Ì†ºÌ∑ß Ì†ΩÌ≤ã https://t‚Ä¶"
"12",-1,"RT @UK_Girls_Daily: Visit https://t.co/RU5rUX4U1U to meet and fuck horny UK girls in your area #meetslags #ukbabe #fuckbuddy Ì†ºÌ∑¨Ì†ºÌ∑ß Ì†ΩÌ≤ã https://t‚Ä¶"
"13",-1,"RT @UK_Girls_Daily: Visit https://t.co/melXL9btkr to meet and fuck horny UK girls in your area #meetslags #ukbabe #fuckbuddy Ì†ºÌ∑¨Ì†ºÌ∑ß Ì†ΩÌ≤ã https://t‚Ä¶"
"14",-1,"Visit https://t.co/WfcE4jbSHz to meet and fuck horny UK girls in your area #meetslags #ukbabe #fuckbuddy Ì†ºÌ∑¨Ì†ºÌ∑ß Ì†ΩÌ≤ã https://t.co/fb23ZhfsO5"
"15",0,"RT @FBuddyAustralia: Is your favorite #fuckbuddy a friend or stranger?"
"16",-1,"RT @UK_Girls_Daily: Visit https://t.co/SIYyiREOir to meet and fuck horny UK girls in your area #meetslags #ukbabe #fuckbuddy Ì†ºÌ∑¨Ì†ºÌ∑ß Ì†ΩÌ≤ã https://t‚Ä¶"
"17",0,"Is your favorite #fuckbuddy a friend or stranger?"
"18",0,"Needing a new #fuckbuddy https://t.co/biG1gu8KfA"
"19",1,"RT @SnowbunnySlayah: she loves sucking out the cum and playing with it #snowbunny #fuckbuddy #bbc https://t.co/zA7bdHSANn"
"20",0,"Sex Toy Storage Creators Discuss Growing Consumer Demand for Hygienic Options‚Ä¶ https://t.co/J85nuJDLYH #FuckBuddy"
"21",0,"Needing a new #fuckbuddy https://t.co/8vofMUVTeE"
"22",0,"RT @ErinLovelace69: Needing a new #fuckbuddy https://t.co/IEBtRLoL4v"
"23",-1,"Visit https://t.co/lm96gCtGq4 to meet and fuck horny UK girls in your area #meetslags #ukbabe #fuckbuddy Ì†ºÌ∑¨Ì†ºÌ∑ß Ì†ΩÌ≤ã https://t.co/G8UvuZrCDJ"
"24",0,"RT @uk_slags: Retweet if you want her arse on you right now #meetslags #ukgirl #ukbabe #slag #slut #fuckbuddy https://t.co/icKX7eQRIr"
"25",0,"Needing a new #fuckbuddy https://t.co/BShp0W4YXt"
"26",0,"Who wants to be my #fuckbuddy? https://t.co/Ho07Ch0HE2"
"27",0,"Retweet if you want her arse on you right now #meetslags #ukgirl #ukbabe #slag #slut #fuckbuddy https://t.co/icKX7eQRIr"
"28",0,"RT @British_Sluts_: Would love to fuck her on the sofa right now #meetslags #britishbabe #slag #slut #fuckbuddy https://t.co/Oij6RPOQtP"
"29",0,"Would love to fuck her on the sofa right now #meetslags #britishbabe #slag #slut #fuckbuddy https://t.co/Oij6RPOQtP"
"30",0,"Needing a new #fuckbuddy https://t.co/BM55DVir76"
"31",-1,"RT @British_Sluts_: Home alone, teasing for me! #meetslags #britishbabe #slag #slut #fuckbuddy #sexylegs https://t.co/YAOsL05LM2"
"32",-1,"Home alone, teasing for me! #meetslags #britishbabe #slag #slut #fuckbuddy #sexylegs https://t.co/YAOsL05LM2"
"33",-2,"RT @British_Sluts_: Retweet if you want to get off with this curvy blonde British slut #meetslags #slag #slut #fuckbuddy #britishbabe #clea‚Ä¶"
"34",0,"Horny. Need a #fuckbuddy"
"35",0,"RT @SteveForvaras: #Naughty #horny #fuckable #NGOT #ukbabes #fuckbuddy #milf #girlfriends who #squirt like this DM or #kik #kikme 4 #nsa #f‚Ä¶"
"36",-1,"RT @jfhdhf77: ""@SnowbunnySlayah: tryna suck me to sleep again #snowbunny #fuckbuddy https://t.co/62CmxDe60J""ÿßÿÆÿ™Ÿä ŸÅÿØŸäÿ™Ÿáÿß ÿ™ŸÑÿ≠ÿ≥ ÿ¥ÿ±ŸÅŸáÿß"
"37",-1,"RT @SnowbunnySlayah: tryna suck me to sleep again #snowbunny #fuckbuddy https://t.co/z6Ql8R8Q7w"
"38",0,"Who wants to be my #fuckbuddy? https://t.co/PvCEonqnuV"
"39",0,"Who wants to be my #fuckbuddy? https://t.co/dQ5rCuTEsP"
"40",0,"Needing a new #fuckbuddy https://t.co/IEBtRLoL4v"
"41",0,"Who wants to be my #fuckbuddy? https://t.co/WbMGmjwBdi"
"42",0,"Needing a new #fuckbuddy https://t.co/lw0dgTrfH8"
"43",0,"New profile pic #cumtributer #cumtribute #cumtributes #fuckbuddy in Vlaanderen!

DM ME YOUR PICS GIRLS (all legal a‚Ä¶ https://t.co/lWdpJT4XAn"
"44",-1,"RT @UK_Girls_Daily: Visit https://t.co/5ciZ23q89y to meet and fuck horny UK girls in your area #meetslags #ukbabe #fuckbuddy Ì†ºÌ∑¨Ì†ºÌ∑ß Ì†ΩÌ≤ã https://t‚Ä¶"
"45",-1,"Visit https://t.co/5ciZ23q89y to meet and fuck horny UK girls in your area #meetslags #ukbabe #fuckbuddy Ì†ºÌ∑¨Ì†ºÌ∑ß Ì†ΩÌ≤ã https://t.co/VxYjnK163A"
"46",0,"Uncovering the Newest Trends in Alternative Billing: For adult merchants‚Ä¶ https://t.co/wfce9IGFxA #FuckBuddy"
"47",-1,"Visit https://t.co/IKeOIHAQma to meet and fuck horny UK girls in your area #meetslags #ukbabe #fuckbuddy Ì†ºÌ∑¨Ì†ºÌ∑ß Ì†ΩÌ≤ã https://t.co/A4wg99wZzw"
"48",0,"Needing a new #fuckbuddy https://t.co/4JdI1rX0pm"
"49",0,"Needing a new #fuckbuddy https://t.co/5VQ8IQxgZO"
"50",0,"RT @JulieCooke21: Needing a new #fuckbuddy https://t.co/hkQFiqzVOt"
"51",0,"Needing a new #fuckbuddy https://t.co/rVKHSg2Ts2"
"52",0,"Who wants to be my #fuckbuddy? https://t.co/h8usZs2E5q"
"53",0,"Needing a new #fuckbuddy https://t.co/hkQFiqzVOt"
"54",0,"Who wants to be my #fuckbuddy? https://t.co/6Aq8QQdht5"
"55",0,"Who wants to be my #fuckbuddy? https://t.co/MiPSwMnB1r"
"56",0,"Who wants to be my #fuckbuddy? https://t.co/nWHWz8K3I8"
"57",0,"RT @Adirtyaffair: RT if you can help satisify her need's on https://t.co/LZsHfqKS7H  #affairs #fuckbuddy https://t.co/67DFag8bV0"
"58",0,"RT if you can help satisify her need's on https://t.co/LZsHfqKS7H  #affairs #fuckbuddy https://t.co/67DFag8bV0"
"59",-1,"RT @UK_Girls_Daily: Visit https://t.co/Ar5rOzzvbS to meet and fuck horny UK girls in your area #meetslags #ukbabe #fuckbuddy Ì†ºÌ∑¨Ì†ºÌ∑ß Ì†ΩÌ≤ã https://t‚Ä¶"
"60",0,"RT @British_Sluts_: Sexy blonde I want to snog as I get her bra off #meetslags #britishbabe #slag #slut #fuckbuddy https://t.co/QVbTtGVkd2"
"61",1,"RT @British_Sluts_: Would love to have a sexy blonde British slut like her #meetslags #britishbabe #slag #slut #fuckbuddy https://t.co/zIFW‚Ä¶"
"62",-1,"RT @uk_slags: Retweet if you want to give this phat UK arse a pounding #meetslags #ukgirl #ukbabe #ass #slag #slut #fuckbuddy https://t.co/‚Ä¶"
"63",-1,"Retweet if you want to give this phat UK arse a pounding #meetslags #ukgirl #ukbabe #ass #slag #slut #fuckbuddy https://t.co/Ldi4ODIpxh"
"64",-2,"Retweet if you want to get off with this curvy blonde British slut #meetslags #slag #slut #fuckbuddy #britishbabe‚Ä¶ https://t.co/QaAB7k9KMx"
"65",0,"Sex News: Netflix series outs sex worker, GOP and Red Pill, YouTube fixes LGBT‚Ä¶ https://t.co/zYSW9OyHeF #FuckBuddy"
"66",0,"Who wants to be my #fuckbuddy? https://t.co/t5tYzgARRj"
"67",0,"Who wants to be my #fuckbuddy? https://t.co/p1fK2gasFJ"
"68",0,"Needing a new #fuckbuddy https://t.co/69d2Czr18G"
"69",-1,"Find a fuck buddy to hook up with on hump day! https://t.co/lA1zzMubL3 #fuckbuddy #humpday"
"70",0,"Needing a new #fuckbuddy https://t.co/eU0d1OBoDg"
"71",0,"Needing a new #fuckbuddy https://t.co/UStDYZGl7s"
"72",0,"Needing a new #fuckbuddy https://t.co/PtBRlfCNxo"
"73",0,"Who wants to be my #fuckbuddy? https://t.co/MQo6Aj8uow"
"74",1,"RT @gayinnewcastle: I need a #fuckbuddy to have lots of regular fun with #nsfw #gayuk #gaygeordie @teamuncut @CocksDaily https://t.co/jABAe‚Ä¶"
"75",-1,"RT @UK_Girls_Daily: Visit https://t.co/XmuM56UJcQ to meet and fuck horny UK girls in your area #meetslags #ukbabe #fuckbuddy Ì†ºÌ∑¨Ì†ºÌ∑ß Ì†ΩÌ≤ã https://t‚Ä¶"
"76",-1,"RT @UK_Girls_Daily: Visit https://t.co/VrnBgl24Wc to meet and fuck horny UK girls in your area #meetslags #ukbabe #fuckbuddy Ì†ºÌ∑¨Ì†ºÌ∑ß Ì†ΩÌ≤ã https://t‚Ä¶"
"77",0,"The Rhinestone Tie: Possibly for a special occasion, but a little bling will‚Ä¶ https://t.co/6wA6JZO9ff #FuckBuddy"
"78",-1,"Visit https://t.co/Ar5rOzzvbS to meet and fuck horny UK girls in your area #meetslags #ukbabe #fuckbuddy Ì†ºÌ∑¨Ì†ºÌ∑ß Ì†ΩÌ≤ã https://t.co/mIYAe5ETU5"
"79",-1,"RT @British_Sluts_: Looking fuckable in pink lingerie #meetslags #britishbabe #slag #slut #fuckbuddy https://t.co/Jwhe2Utggu"
